Id,Name,SearchName,Image,Price,Tsukuri,Hiire,Sakamai,Prefecture,Shuzou,Seimai,Status,Flavor,Temperature,Pairing,Alcohol
urazato-prototype6,浦里 PROTOTYPE6 黒の衝撃,浦里 純米酒 PROTOTYPE6 黒の衝撃 本生,labels/web/urazato-prototype6.jpg,1980円,純米酒,本生,,茨城,浦里酒造店,,1,黒ラベルらしい引き締まった印象と生の勢いがありそう,冷酒,揚げ物/炙り料理/塩気のあるつまみ,
iraka-ginkuro-hitogokochi,甍 銀・黒 ひとごこち,甍 銀 黒 ひとごこち 火入,labels/web/iraka-ginkuro.jpg,2970円,,火入,ひとごこち,長野,甍酒蔵,,1,ひとごこち由来の柔らかさと火入れの落ち着きが出るタイプ,冷酒から常温,だし料理/焼き魚/和食,
yamasan-yamada,山三 山田錦 五割 無濾過生原酒,山三 純米吟醸 山田錦 五割 無濾過生原酒,labels/web/yamasan-yamada.png,2200円,純米吟醸,無濾過生原酒,山田錦,長野,山三酒造,,1,山田錦のふくらみと無濾過生原酒の力強さが楽しめそう,冷酒,焼き鳥/肉料理/濃い味のつまみ,
sara-vesper,Sara the starry night Vesper おりがらみ仕様,彩來 Sara the starry night Vesper おりがらみ仕様,labels/web/sara-vesper.jpg,,低アルコール おりがらみ,,,埼玉,北西酒造,,1,マスカットやメロン、洋梨のような清楚な果実香。発酵由来のガス感と共にジューシーな旨みと甘みが広がり、果実のようなフレッシュな酸が全体をきれいにまとめる,冷酒,食前/フルーツ系前菜/白身魚,14%
ryozeki-wadaya-omachi,Ryozeki×ワダヤ 無濾過生,Ryozeki×ワダヤ 無濾過生 花邑仕様 雄町,labels/web/ryozeki-wadaya.png,,花邑仕様 無濾過生,,雄町,秋田,両関酒造,50,1,リンゴやラ・フランスを思わせる果実香にスパイシーなニュアンス。透明感のある口当たりからミネラル感を伴うふくよかな旨みと甘みが広がり、きれいな酸でキレ良く締まる,冷酒,和食/白身魚/だし料理,
kenichiro-kimoto,KENICHIRO 生酛仕込み,千代の光 純米吟醸 KENICHIRO 生酛仕込み,labels/kenichiro-kimoto.png,,純米吟醸 生酛,原酒,越淡麗,新潟,千代の光酒造,50,1,みずみずしい口当たりにドライフルーツやナッツを思わせる複雑味。生酛らしい酸とほろ苦さが余韻を引き締める,冷酒から常温,熟成チーズ/ナッツ/肉料理,16%
cute-face-wrong-angle,CUTE FACE / WRONG ANGLE,CUTE FACE WRONG ANGLE FASHION SMILE SWITCH,labels/cute-face-wrong-angle.png,,アートラベル にごり,,,,,,1,やわらかなにごりを見せるアートラベルの一本。蔵元と詳細スペックはボトル裏面の確認待ち,よく冷やして,前菜/軽いチーズ/フルーツ,
wadaya-tanuki,#WADAYA たぬきラベル,#WADAYA たぬき 限定ラベル,labels/wadaya-tanuki.png,,WADAYA限定,,,,,,1,緑のたぬきが目印のWADAYA限定ラベル。蔵元と詳細スペックはボトル裏面の確認待ち,冷酒,前菜/和食/軽いおつまみ,
ryozeki-wadaya-omachi-2026,Ryozeki×WADAYA 雄町,Ryozeki 純米吟醸 無濾過生 雄町 WADAYA別注 2026頒布会,labels/ryozeki-wadaya-omachi-2026.png,,純米吟醸,無濾過生,雄町,秋田,両関酒造,,1,厚みのある甘旨味にリンゴを思わせる果実感。後口はすっと切れて食中にも合わせやすい,冷酒,和食/白身魚/だし料理,
takachiyo-cherry,たかちよ CUSTOM MADE チェリちよ,豊醇無盡たかちよ CUSTOM MADE チェリちよ 扁平精米 無濾過生原酒,labels/takachiyo-cherry.png,,扁平精米,無濾過生原酒,国産米,新潟,高千代酒造,65,1,さくらんぼを思わせるやさしい甘みと酸味。ジューシーで軽快な果実感が広がる,よく冷やして,生ハム/クリームチーズ/甘酸っぱい前菜,14%
kid-shibatas-be-ambitious,紀土 Shibata's be ambitious!,紀土 Shibata's 純米大吟醸 be ambitious,labels/kid-shibatas-be-ambitious.png,,純米大吟醸,一回火入れ,山田錦,和歌山,平和酒造,50,1,マスカットやリンゴを思わせる香り。上品な甘旨味と伸びのある余韻を楽しめる,冷酒,刺身/焼き魚/白身魚,16%
kuroushi-muroka-nama,黒牛 純米 中取り 無濾過生原酒,黒牛 純米酒 生原酒 中取り 無濾過生,labels/kuroushi-muroka-nama.png,,純米酒,中取り 無濾過生原酒,山田錦,和歌山,名手酒造店,麹50/掛60,1,黒牛らしい濃い旨味と力強さに生酒のフレッシュ感。重さを残しすぎず食中で映える,冷酒から常温,煮物/焼き鳥/濃い味の肉料理,18〜19%
kamonishiki-ginsen-tanrei,加茂錦 吟撰 淡麗搾直詰,加茂錦 吟撰 淡麗搾直詰,labels/kamonishiki-ginsen-tanrei.png,,吟醸,火入れ,山田錦/雄町,新潟,加茂錦酒造,麹50/掛60,1,白桃を思わせる淡い香りと細かなガス感。透明感のある甘みからすっきり切れる,冷酒,刺身/カルパッチョ/塩味の前菜,15%
ubusuna-yamada-nishiki-2025,産土 2025 山田錦 二農醸,産土 2025 山田錦 二農醸 生,labels/ubusuna-yamada-nishiki-2025.png,,生酛 二農醸,無濾過生原酒,山田錦,熊本,花の香酒造,55,1,瑞々しい甘みと酸にきめ細かなガス感。低アルコールながら米の奥行きが伸びる,よく冷やして,白身魚/発酵食品/軽い前菜,13%
kokken-mutan,國権 儚淡 純米吟醸,國権 儚淡 純米吟醸 原酒 スワローラベル,labels/kokken-mutan.png,,純米吟醸,原酒 一回火入れ,夢の香,福島,國権酒造,60,1,軽やかで清涼感のある香りときれいな甘酸。低アルコール原酒らしい透明感がある,冷酒,白身魚/山菜/だし料理,13%
sanrensei-white-origarami,三連星 白 純米吟醸 おりがらみ生,三連星 純米吟醸 山田錦55 おりがらみ 生,labels/sanrensei-white-origarami.png,,純米吟醸,おりがらみ生,山田錦,滋賀,美冨久酒造,55,1,おりのやわらかな旨味にジューシーな甘酸。爽快さと飲みごたえを両立する,よく冷やして,揚げ物/焼き鳥/クリームチーズ,17%
hodenasu-junmai-nama-genshu,ほでなす 純米生原酒,太閤 ほでなす 純米生原酒 門傳醸造,labels/hodenasu-junmai-nama-genshu.png,,純米酒,生原酒,ササニシキ,宮城,門傳醸造（醸造：萩野酒造）,60,1,フレッシュな酸とほのかなガス感。すっきりした口当たりから米のコクとパンチのある旨味が広がる,よく冷やして,焼き鳥/海鮮/濃い味のつまみ,16.2%
